City,Country,Region,Page,Section,Source,PageViews,TimeOnPage,TotalDownloads,UniqueVisitors,Visits,ConversionRate
Amsterdam,Netherlands,Europe,/download,Register,Facebook,152,1976,0,80,328,0
Antony,France,Europe,/examples,Training,Linkedin,232,9120,1,80,248,0.004
Assens,Denmark,Europe,/gallery/which-country-uses-most-oil,Examples,Organic,460,4400,1,100,540,0.0019
Bangalore,India,Asia,/faq,User,Organic,114,7680,1,60,222,0.0045
Beauport,Canada,North America,/gallery,Examples,Linkedin,144,2016,1,60,168,0.006
Bratislava,Slovakia,Europe,/gallery,Examples,Facebook,3150,64990,4,790,1260,0.0032
Burnt Hills,United States,North America,/gallery/ipoprofitability,Examples,Organic,33,1700,0,10,38,0
Charlotte,United States,North America,/gallery/best-chess-openings,Examples,Facebook,33,790,0,10,25,0
Chiclayo,Peru,South America,/app/6.0/start,User,Facebook,200,7720,1,89,260,0.0038
Delft,Netherlands,Europe,/download,Register,Twitter,304,1424,0,80,288,0
Dublin,United States,North America,/download,Register,Organic,48,49,0,10,34,0
Dundrum,Ireland,Europe,/gallery,Examples,Linkedin,120,15200,2,100,590,0.0034
Ft Walton Beach,United States,North America,/download,Register,Linkedin,50,3343,0,10,42,0
Greenville,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,42,510,1,10,35,0.0286
Grenoble,France,Europe,/download,Register,Organic,88,872,0,80,200,0
Gurgaon,India,Asia,/how-it-works,User,Linkedin,504,654,1,108,360,0.0028
Haarlem,Netherlands,Europe,/gallery,Examples,Facebook,352,33392,1,80,400,0.0025
Haney,Canada,North America,/download,Register,Linkedin,144,1248,1,60,312,0.0032
Honolulu,United States,North America,/gallery/austrian-baby-names,Examples,Organic,28,1030,1,10,53,0.0189
Hopkins,United States,North America,/download,Register,Facebook,13,178,0,10,45,0
Jacksonville,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,39,1630,0,10,28,0
Jenks,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,24,400,1,10,50,0.02
Kuala Lumpur,Malaysia,Asia,/gallery/nba-heatmap,Examples,Organic,360,103360,0,100,440,0
La Rioja,Argentina,South America,/gallery,Examples,Linkedin,180,6960,1,60,282,0.0035
Lincoln,United States,North America,/app/6.0/start,User,Facebook,11,1580,1,10,22,0.0455
London,United Kingdom,Europe,/how-it-works,User,Linkedin,264,196,1,56,184,0.0054
Los Angeles,United States,North America,/download,Register,Organic,12,89,0,10,47,0
Louisville,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,46,1470,0,10,26,0
Mataro,Spain,Europe,/how-it-works,User,Linkedin,1088,1344,1,240,480,0.0021
Melbourne,Australia,Oceania,/gallery/high-school-graduation-rates,Examples,Linkedin,144,1842,1,60,306,0.0033
Melbourne,Australia,Oceania,/how-it-works,User,Facebook,456,3324,1,156,252,0.004
Mesa,United States,North America,/download,Register,Linkedin,35,1375,0,10,41,0
Montreal,Canada,North America,/gallery/taleof100,Examples,Linkedin,216,5220,0,60,222,0
Montreal,Canada,North America,/download,Register,Linkedin,288,7860,0,60,138,0
Moron,Argentina,South America,/download,Register,Linkedin,390,19080,6,120,324,0.0185
Moscow,Russia,Europe,/download,Register,Organic,380,1190,1,100,240,0.0042
Nantes,France,Europe,/download,Register,Linkedin,112,7280,0,80,336,0
New Delhi,India,Asia,/app/6.0/start,User,Facebook,336,8484,1,180,474,0.0021
New York,United States,North America,/gallery,Examples,Linkedin,34,1510,0,10,41,0
North Myrtle Beach,United States,North America,/download,Register,Organic,45,1790,0,10,34,0
Oakville,Canada,North America,/download,Register,Linkedin,192,1068,1,60,180,0.0056
Oviedo,Spain,Europe,/download,Register,Organic,176,872,1,80,456,0.0022
Petaling Jaya,Malaysia,Asia,/how-it-works,User,Linkedin,740,14580,1,270,590,0.0017
Queen Creek,United States,North America,/gallery/college-football-recruiting,Examples,Facebook,38,740,0,10,44,0
Richmond,Australia,Oceania,/download,Register,Linkedin,144,4500,0,60,138,0
Rosario,Argentina,South America,/gallery/taleof100,Examples,Linkedin,204,1722,0,60,144,0
Rotterdam,Netherlands,Europe,/faq,User,Facebook,240,8960,1,80,232,0.0043
San Diego,United States,North America,/how-it-works,User,Linkedin,137,20,0,28,70,0
Santa Clara,United States,North America,/gallery/taleof100,Examples,Facebook,14,1490,0,10,31,0
Sierra Vista,United States,North America,/gallery/spending-president,Examples,Organic,20,1390,1,10,52,0.0192
Stockholm,Sweden,Europe,/gallery/netflix-selector,Examples,Organic,200,11000,1,100,400,0.0025
Toulouse,France,Europe,/gallery,Examples,Linkedin,328,872,0,80,312,0
Vincente Lopez,Argentina,South America,/download,Register,Linkedin,96,2196,1,60,162,0.0062
Warsaw,Poland,Europe,/gallery/taleof100,Examples,Linkedin,120,9800,1,45,520,0.0019
Williamsburg,United States,North America,/gallery,Examples,Organic,46,900,0,10,47,0
Zurich,Switzerland,Europe,/download,Register,Linkedin,400,1290,1,260,560,0.0018
Anjou,Canada,North America,/gallery,Examples,Linkedin,288,354,0,60,216,0
Bangalore,India,Asia,/how-it-works,User,Facebook,822,24690,2,174,456,0.0044
Bath,United Kingdom,Europe,/gallery/cost-big-mac-around-globe,Examples,Organic,152,5400,0,40,208,0
Boston,United States,North America,/download,Register,Linkedin,34,440,0,10,46,0
Broken Arrow,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,50,1630,1,10,21,0.0476
Bucheon,South Korea,Asia,/gallery,Examples,Linkedin,190,1290,1,58,510,0.002
Calgary,Canada,North America,/how-it-works,User,Linkedin,240,17034,1,96,360,0.0028
Calgary,Canada,North America,/download,Register,Linkedin,78,3024,6,60,216,0.0278
Canberra,Australia,Oceania,/download,Register,Organic,150,8280,0,60,120,0
Capelle Aan Den Ijssel,Netherlands,Europe,/download-menu,Register,Facebook,216,11520,1,80,264,0.0038
Chungli,Taiwan,Asia,/knowledgebase/best-practices-designing-piecees-and-dashboards,User,Organic,460,13200,2,100,590,0.0034
Cochin,India,Asia,/gallery/best-chess-openings,Examples,Organic,138,3180,1,60,264,0.0038
Dallas,United States,North America,/gallery/high-school-graduation-rates,Examples,Twitter,29,1020,0,10,60,0
Donets'k,Ukraine,Europe,/download,Register,Linkedin,480,990,1,100,430,0.0023
Floral Park,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,49,2226,0,10,20,0
Gijon,Spain,Europe,/how-it-works,User,Facebook,400,4192,2,88,424,0.0047
Gijon,Spain,Europe,/gallery,Examples,Facebook,184,10000,0,80,208,0
Grimbergen,Belgium,Europe,/download,Register,Linkedin,440,2870,2,100,590,0.0034
Hong Kong,Hong Kong,Asia,/examples,Training,Organic,390,7400,1,100,490,0.002
Las Vegas,United States,North America,/gallery/us-population-race,Examples,Organic,19,680,1,10,59,0.0169
Leeds,United Kingdom,Europe,/gallery/which-country-uses-most-oil,Examples,Organic,124,5160,1,40,200,0.005
Lincoln,United States,North America,/app/6.0/start,User,Facebook,27,5994,1,10,50,0.02
Lincoln,United States,North America,/download,Register,Organic,11,168,1,10,35,0.0286
Medellin,Colombia,South America,/app/6.0/start,User,Facebook,220,8300,1,100,250,0.004
Melbourne,Australia,Oceania,/knowledgebase/all,User,Organic,630,7314,1,138,300,0.0033
Melbourne,Australia,Oceania,/knowledgebase/sharing-views,User,Facebook,324,73176,1,126,288,0.0035
Merritt Island,United States,North America,/download,Register,Linkedin,15,208,0,10,57,0
Merritt Island,United States,North America,/examples?build=7000.12.1018.2200,Training,Linkedin,26,1414,0,10,38,0
Moron,Argentina,South America,/download,Register,Linkedin,516,2436,2,294,534,0.0037
Mumbai,India,Asia,/gallery,Examples,Organic,210,13830,0,120,198,0
New York,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,24,730,0,10,54,0
New York,United States,North America,/app/6.0/start,User,Facebook,43,1360,0,10,22,0
Old Greenwich,United States,North America,/download,Register,Linkedin,42,148,0,10,25,0
Oldenburg,Germany,Europe,/how-it-works,User,Linkedin,200,16272,1,144,504,0.002
Oslo,Norway,Europe,/download,Register,Linkedin,220,13600,3,100,580,0.0052
Oslo,Norway,Europe,/gallery/netflix-selector,Examples,Organic,690,8600,3,200,450,0.0067
Palo Alto,United States,North America,/gallery/high-school-graduation-rates,Examples,Twitter,10,1110,0,10,20,0
Quezon City,Philippines,Asia,/upgrade,User,Linkedin,200,6030,1,40,280,0.0036
Rock Hill,United States,North America,/gallery,Examples,Linkedin,31,3343,0,10,51,0
s Gravenhage,Netherlands,Europe,/gallery/best-chess-openings,Examples,Facebook,272,6560,1,80,440,0.0023
San Antonio,United States,North America,/gallery/us-population-race,Examples,Organic,23,1050,0,10,49,0
Santa Clara,United States,North America,/gallery/taleof100,Examples,Facebook,44,1130,0,10,22,0
Singapore,Singapore,Asia,/gallery,Examples,Organic,480,2470,2,100,590,0.0034
Vancouver,Canada,North America,/download,Register,Linkedin,78,5160,1,60,300,0.0033
Veszprem,Hungary,Europe,/download,Register,Linkedin,460,1290,3,210,260,0.0115
Auckland,New Zealand,Oceania,/gallery/holiday-work-visa,Examples,Twitter,460,6900,10,213,570,0.0175
Ballerup,Denmark,Europe,/terms,User,Facebook,940,33000,1,200,400,0.0025
Bangalore,India,Asia,/how-it-works?build=7000.12.1018.2200,User,Facebook,258,2880,1,72,246,0.0041
Bangalore,India,Asia,/download,Register,Linkedin,210,7896,1,60,246,0.0041
Barcelona,Spain,Europe,/download,Register,Linkedin,344,2056,8,80,176,0.0455
Bedford,United Kingdom,Europe,/gallery,Examples,Organic,52,160,4,40,232,0.0172
Beijing,China,Asia,/download,Register,Linkedin,200,1264,1,80,248,0.004
Beverwijk,Netherlands,Europe,/examples?build=7000.12.1018.2200,Training,Facebook,336,77864,0,80,216,0
Bowling Green,United States,North America,/gallery,Examples,Linkedin,29,89,0,10,51,0
Bratislava,Slovakia,Europe,/gallery,Examples,Facebook,770,100740,10,690,1060,0.0094
Brighton,United Kingdom,Europe,/gallery/high-school-graduation-rates,Examples,Twitter,188,52580,4,40,176,0.0227
Brisbane,Australia,Oceania,/upgrade,User,Organic,480,534,1,156,330,0.003
Bristol,United Kingdom,Europe,/examples?build=7000.12.1018.2200,Training,Organic,196,3040,4,40,228,0.0175
Brussels,Belgium,Europe,/download,Register,Organic,350,2870,1,100,430,0.0023
Buenos Aires,Argentina,South America,/gallery,Examples,Linkedin,270,1956,1,180,390,0.0026
Buenos Aires,Argentina,South America,/gallery/job-growth-recession,Examples,Linkedin,222,6840,1,60,360,0.0028
Buenos Aires,Argentina,South America,/download,Register,Linkedin,228,7200,1,60,288,0.0035
Buenos Aires,Argentina,South America,/faq,User,Linkedin,252,45936,0,60,162,0
Burnaby,Canada,North America,/gallery/holiday-work-visa,Examples,Organic,276,9000,0,60,288,0
Burnaby,Canada,North America,/download,Register,Linkedin,60,594,0,60,138,0
Cambridge,United States,North America,/gallery/ipoprofitability,Examples,Organic,48,900,0,10,49,0
Cambridge,United States,North America,/gallery/iposvsnasdaq,Examples,Organic,26,800,0,10,48,0
Cardiff,United Kingdom,Europe,/gallery/changes-vc-industry,Examples,Facebook,164,8308,1,40,184,0.0054
Cincinnati,United States,North America,/gallery/high-school-graduation-rates,Examples,Linkedin,14,1330,0,10,22,0
College Station,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,38,1180,0,10,52,0
Dallas,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,17,500,0,10,55,0
Daventry,United Kingdom,Europe,/gallery/making-pay-gap-look-good,Examples,Facebook,216,5520,0,80,216,0
Deerfield,United States,North America,/gallery/high-school-graduation-rates,Examples,Twitter,43,5124,1,10,49,0.0204
Gentilly,France,Europe,/examples,Training,Linkedin,280,3280,1,80,248,0.004
Gijon,Spain,Europe,/how-it-works,User,Facebook,544,16128,8,112,208,0.0385
Goteborg,Sweden,Europe,/gallery/netflix-selector,Examples,Facebook,280,8610,1,100,230,0.0043
Hartford,United States,North America,/gallery/high-school-graduation-rates,Examples,Linkedin,49,5381,0,10,30,0
Helsingborg,Sweden,Europe,/download,Register,Linkedin,360,1380,10,100,380,0.0263
Houston,United States,North America,/download,Register,Linkedin,35,550,0,10,35,0
Huntington,United States,North America,/gallery/high-school-graduation-rates,Examples,Twitter,22,760,0,10,58,0
Libertyville,United States,North America,/gallery/high-school-graduation-rates,Examples,Organic,11,740,0,10,23,0
Lincoln,United States,North America,/how-it-works?build=7000.12.1018.2200,User,Facebook,103,247,0,26,69,0
London,United Kingdom,Europe,/upgrade,User,Facebook,236,3900,1,60,256,0.0039
London,United Kingdom,Europe,/gallery/conf12-tweet-tracker,Examples,Linkedin,152,3680,1,40,212,0.0047
London,United Kingdom,Europe,/gallery/analysis-teeth,Examples,Organic,128,356,0,40,128,0
Los Angeles,United States,North America,/how-it-works,User,Organic,20,1070,0,10,38,0
Los Angeles,United States,North America,/knowledgebase/all?page=1,User,Organic,51,435,0,14,26,0
Madison,United States,North America,/download,Register,Linkedin,42,1520,0,10,20,0
Madrid,Spain,Europe,/download,Register,Facebook,272,6400,1,80,328,0.003
Melbourne,Australia,Oceania,/download,Register,Organic,90,2256,1,60,216,0.0046
Mendoza,Argentina,South America,/download,Register,Linkedin,258,10140,0,60,144,0
Mexico City,Mexico,North America,/download,Register,Organic,260,6030,1,100,340,0.0029
Minneapolis,United States,North America,/gallery/high-school-graduation-rates,Examples,Twitter,28,1580,0,10,55,0
Montreal,Canada,North America,/gallery,Examples,Linkedin,258,7896,1,60,354,0.0028
Montreal,Canada,North America,/gallery/high-school-graduation-rates,Examples,Facebook,240,3798,1,60,342,0.0029
Moron,Argentina,South America,/download,Register,Linkedin,336,11040,0,120,186,0
Moscow,Russia,Europe,/examples,Training,Facebook,390,9100,2,100,470,0.0043
Mugla,Turkey,Europe,/thanks,User,Organic,730,146590,10,240,690,0.0145
Mugla,Turkey,Europe,/download,Register,Organic,450,8110,0,230,300,0
Mumbai,India,Asia,/gallery/making-pay-gap-look-good,Examples,Organic,60,71394,1,60,150,0.0067
Nei-Hu,Taiwan,Asia,/download,Register,Organic,440,990,1,250,400,0.0025
New York,United States,North America,/gallery/conf12-tweet-tracker,Examples,Linkedin,22,1430,0,10,58,0
New York,United States,North America,/gallery/high-school-graduation-rates,Examples,Organic,28,1180,0,10,50,0
New York,United States,North America,/examples,Training,Facebook,33,1590,0,10,21,0
New York,United States,North America,/download,Register,Linkedin,42,500,1,10,21,0.0476
Noida,India,Asia,/knowledgebase/best-practices-designing-piecees-and-dashboards,User,Organic,522,15972,0,132,378,0
Ogden,United States,North America,/gallery/stds,Examples,Organic,38,1340,1,10,29,0.0345
Oklahoma City,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,35,540,0,10,58,0
Oklahoma City,United States,North America,/gallery/which-country-uses-most-oil,Examples,Organic,18,1444,0,10,55,0
Ottawa,Canada,North America,/download,Register,Linkedin,90,294,0,60,174,0
Oxford,United Kingdom,Europe,/gallery/conf12-tweet-tracker,Examples,Organic,212,2412,1,80,224,0.0045
Paris,France,Europe,/gallery,Examples,Facebook,312,1896,8,80,344,0.0233
Pensacola,United States,North America,/download,Register,Linkedin,11,267,0,10,29,0
Peterborough,Canada,North America,/examples,Training,Organic,96,3360,0,60,156,0
Phenix City,United States,North America,/download,Register,Organic,33,1110,0,10,52,0
Pijnacker,Netherlands,Europe,/download,Register,Twitter,208,2296,1,80,440,0.0023
Planegg,Germany,Europe,/examples,Training,Facebook,192,11200,1,80,368,0.0027
Poplar,United Kingdom,Europe,/gallery,Examples,Organic,76,1344,1,40,228,0.0044
Portland,United States,North America,/gallery/high-school-graduation-rates,Examples,Facebook,26,1440,0,10,51,0
Portland,United States,North America,/download,Register,Linkedin,17,178,0,10,44,0
Pune,India,Asia,/knowledgebase/all?page=1,User,Organic,120,7458,1,66,294,0.0034
Rancho Palos Verdes,United States,North America,/download,Register,Linkedin,49,99,0,10,21,0
Redwood City,United States,North America,/gallery/spending-president,Examples,Organic,18,1660,0,10,59,0
Regina,Canada,North America,/download,Register,Linkedin,180,414,0,60,120,0
Roanoke,United States,North America,/how-it-works,User,Organic,11,1610,1,10,59,0.0169
Rovigo,Italy,Europe,/download,Register,Facebook,264,10320,1,80,328,0.003
s Gravenhage,Netherlands,Europe,/gallery/best-chess-openings,Examples,Facebook,344,13280,1,80,384,0.0026
San Diego,United States,North America,/gallery/holiday-work-visa,Examples,Facebook,35,1660,0,10,58,0
San Diego,United States,North America,/gallery/high-school-graduation-rates,Examples,Organic,39,950,0,10,57,0
San Diego,United States,North America,/download,Register,Facebook,50,158,1,10,35,0.0286
